,idx,id,v1,delta_x,delta_v,a1
0,0,1,7.228899553,12.20908651,-0.90700565,0.220203063
1,1,1,7.229777276,12.11658083,-0.925125661,0.008769116
2,2,1,7.196461799,12.02518464,-0.913935936,-0.333194771
3,3,1,7.124715351,11.93786735,-0.873115487,-0.717444102
4,4,1,7.015170623,11.85748596,-0.803839392,-1.095475207
5,5,1,6.865617352,11.78770821,-0.697774631,-1.495469499
6,6,1,6.67302781,11.73355338,-0.541558522,-1.925893537
7,7,1,6.444507296,11.69978767,-0.337692157,-2.285265335
8,8,1,6.202657568,11.68789424,-0.118929063,-2.418506897
9,9,1,5.978458717,11.6939228,0.060275388,-2.241986055
10,10,1,5.795988498,11.70905686,0.151358387,-1.824709743
11,11,1,5.658163702,11.72304945,0.139940753,-1.378250406
12,12,1,5.547549321,11.72816947,0.051157428,-1.106143812
13,13,1,5.445464292,11.72085776,-0.073146915,-1.020842746
14,14,1,5.349576661,11.70074757,-0.201023845,-0.958813473
15,15,1,5.270257531,11.66908721,-0.316644555,-0.793171678
16,16,1,5.211566533,11.62809839,-0.409910212,-0.586917531
17,17,1,5.159176368,11.58129285,-0.468070562,-0.523956932
18,18,1,5.086358396,11.53350417,-0.477869013,-0.7281667
19,19,1,4.970136139,11.49002577,-0.434821965,-1.162250502
20,20,1,4.803884606,11.45482402,-0.352024628,-1.662520047
21,21,1,4.59956861,11.42866416,-0.261588611,-2.043165054
22,22,1,4.380878298,11.40822366,-0.204372302,-2.186845192
23,23,1,4.172107786,11.38715759,-0.210718853,-2.087677953
24,24,1,3.986798186,11.35884576,-0.283110228,-1.853101092
25,25,1,3.821903756,11.31952784,-0.393139163,-1.648969397
26,26,1,3.66330964,11.2699792,-0.495484145,-1.58598625
27,27,1,3.499060645,11.21489951,-0.550776678,-1.642472023
28,28,1,3.328111304,11.16055804,-0.543422472,-1.709491145
29,29,1,3.15838853,11.1122523,-0.48306228,-1.697192457
30,30,1,2.999928553,11.07303566,-0.392181526,-1.584587506
31,31,1,2.860808691,11.04372789,-0.29309016,-1.391259004
32,32,1,2.747369675,11.02342651,-0.20300866,-1.134356946
33,33,1,2.665110931,11.00998114,-0.134436205,-0.822547635
34,34,1,2.616429001,11.00057685,-0.094075716,-0.486887415
35,35,1,2.595495812,10.99268875,-0.07887061,-0.209296031
36,36,1,2.58601554,10.98524007,-0.074486939,-0.094828387
37,37,1,2.567820422,10.97899217,-0.062526751,-0.181935704
38,38,1,2.529374606,10.97563298,-0.033553823,-0.384433257
39,39,1,2.473663233,10.9762704,0.006391402,-0.557146558
40,40,1,2.4118213,10.98040083,0.041319371,-0.618424054
41,41,1,2.353963472,10.98578367,0.05380311,-0.578568279
42,42,1,2.307160647,10.98858154,0.028006613,-0.468063529
43,43,1,2.277141493,10.98381216,-0.047704195,-0.30019626
44,44,1,2.266145375,10.96655497,-0.172609465,-0.109928533
45,45,1,2.269387456,10.93380887,-0.32744059,0.032438166
46,46,1,2.277302394,10.88569977,-0.481149126,0.079151833
47,47,1,2.282253078,10.82496638,-0.607333328,0.049514384
48,48,1,2.282042807,10.75542682,-0.695312715,-0.002130446
49,49,1,2.277632182,10.68059317,-0.748334653,-0.044070777
50,50,1,2.26946703,10.60310842,-0.774847298,-0.081636802
51,51,1,2.256130339,10.52494483,-0.781671168,-0.133427285
52,52,1,2.235191344,10.44772108,-0.772302627,-0.209402023
53,53,1,2.204963271,10.37285131,-0.748669583,-0.302225445
54,54,1,2.166327865,10.30147156,-0.71375263,-0.386351991
55,55,1,2.123493857,10.23417388,-0.673004639,-0.428375173
56,56,1,2.082726367,10.17083225,-0.633413552,-0.407699807
57,57,1,2.049613674,10.11072909,-0.600988967,-0.331094093
58,58,1,2.026988183,10.05284836,-0.578817624,-0.226220005
59,59,1,2.014945137,9.996142715,-0.567078915,-0.120453296
60,60,1,2.012536979,9.939655167,-0.564842642,-0.02410648
61,61,1,2.019544106,9.882470813,-0.571921843,0.070051265
62,62,1,2.036841627,9.823536254,-0.589246722,0.172962761
63,63,1,2.065078968,9.761789226,-0.617504062,0.282438876
64,64,1,2.102738538,9.696277843,-0.655138349,0.376602689
65,65,1,2.145205007,9.626519852,-0.697511987,0.424629593
66,66,1,2.186049485,9.552703564,-0.738254012,0.408450061
67,67,1,2.219734638,9.475513515,-0.771884449,0.336856438
68,68,1,2.243648821,9.395928388,-0.795811462,0.23914937
69,69,1,2.258198303,9.31488252,-0.810436229,0.145482184
70,70,1,2.265484238,9.233102322,-0.817872543,0.072869539
71,71,1,2.268326634,9.151001187,-0.821013243,0.028436408
72,72,1,2.270467959,9.068629862,-0.823698345,0.021430798
73,73,1,2.276617662,8.985540792,-0.830835415,0.061441558
74,74,1,2.290334582,8.900904915,-0.846349142,0.137217513
75,75,1,2.310819207,8.813902801,-0.870076433,0.204807943
76,76,1,2.331722203,8.724219928,-0.896777964,0.20906317
77,77,1,2.343620517,8.632330274,-0.918927298,0.118962573
78,78,1,2.337246051,8.539291204,-0.930377678,-0.063719194
79,79,1,2.30390598,8.446531781,-0.927629713,-0.333441274
80,80,1,2.232884413,8.355690307,-0.908361525,-0.710240388
81,81,1,2.11110339,8.268620372,-0.870692367,-1.217752298
82,82,1,1.929758106,8.187111219,-0.815156814,-1.813478512
83,83,1,1.693880507,8.112467556,-0.746448708,-2.358760514
